booking_id,guest_id,hotel_name_raw,room_type_id,check_in,check_out,nights,rate_per_night,total_revenue,satisfaction_score,booking_channel
1,258,Boston North Station,2,2025-06-07,2025-06-09,2,165.17,330.34,5,Direct
2,393,Boston North Station,4,2025-02-01,2025-02-05,4,106.23,424.92,5,Direct
3,31,London  Bankside,2,2026-03-27,2026-03-31,4,136.44,545.76,4,Corporate
4,67,rotterdam,3,2026-06-12,2026-06-17,5,188.38,941.9,5,Direct
5,128,copenhagen islands brygge,2,2025-12-02,2025-12-07,5,135.65,678.25,3,Corporate
6,259,london bankside,4,2025-09-04,2025-09-06,2,87.35,174.7,5,Direct
7,136,Copenhagen Islands Brygge,3,2026-02-17,2026-02-20,3,173.97,521.91,4,Direct
8,144,Seattle  South Lake Union,1,2025-05-12,2025-05-13,1,132.76,132.76,4,OTA
9,24,Copenhagen Islands Brygge,1,2025-05-21,2025-05-27,6,118.76,712.56,3,OTA
10,304,copenhagen islands brygge,3,2026-06-04,2026-06-11,7,207.13,1449.91,5,Corporate
11,299,london bankside,3,2025-01-28,2025-02-02,5,243.21,1216.05,3,OTA
12,349,Copenhagen Islands Brygge,2,2025-02-02,2025-02-07,5,131.21,656.05,4,Direct
13,377,copenhagen islands brygge,1,2025-05-22,2025-05-27,5,112.27,561.35,3,OTA
14,182,ROTTERDAM ,3,2026-05-11,2026-05-13,2,191.19,382.38,5,OTA
15,246,seattle south lake union,3,2025-10-08,2025-10-11,3,221.25,663.75,2,OTA
16,178,Boston North Station,4,2025-09-20,2025-09-26,6,93.18,559.08,3,OTA
17,26,New York Bowery,2,2025-08-27,2025-08-28,1,143.46,143.46,,OTA
18,335,paris gare de lyon,4,2026-05-04,2026-05-10,6,122.13,732.78,5,Direct
19,379, New York Bowery,1,2025-06-29,2025-07-03,4,105.76,423.04,2,OTA
20,5,Boston North Station,3,2025-04-20,2025-04-23,3,244.88,734.64,5,OTA
21,99,seattle south lake union,1,2025-12-05,2025-12-07,2,126.37,252.74,5,Corporate
22,313,New York Bowery,4,2026-03-14,2026-03-19,5,100.73,503.65,4,OTA
22,313,New York Bowery,4,2026-03-14,2026-03-19,5,100.73,503.65,4,OTA
23,229,Copenhagen Islands Brygge,3,2025-12-04,2025-12-07,3,213.41,640.23,4,Direct
24,82,seattle south lake union,4,2026-05-30,2026-06-05,6,111.73,670.38,5,OTA
25,79,paris gare de lyon,4,2026-01-18,2026-01-22,4,120.19,480.76,3,OTA
26,229,London  Bankside,3,2025-03-21,2025-03-26,5,232.76,1163.8,3,OTA
27,349,Seattle South Lake Union,2,2026-05-16,2026-05-17,1,149.87,149.87,4,Direct
28,158,Seattle  South Lake Union,1,2026-02-10,2026-02-13,3,130.62,391.86,5,Direct
29,242,Amsterdam Amstel,1,2025-10-21,2025-10-25,4,104.0,416.0,2,Direct
30,42,copenhagen islands brygge,2,2025-12-23,2025-12-24,1,154.97,154.97,3,Direct
31,369,Seattle  South Lake Union,4,2026-06-29,2026-07-03,4,94.91,379.64,5,Direct
32,124,Copenhagen Islands Brygge,2,2025-03-10,2025-03-11,1,149.92,149.92,5,Direct
33,112, New York Bowery,1,2025-05-24,2025-05-29,5,108.31,541.55,4,Corporate
34,267,Paris Gare De Lyon,2,2026-02-28,2026-03-03,3,156.05,468.15,4,Direct
35,330, Amsterdam Amstel ,4,2026-06-22,2026-06-25,3,101.01,303.03,4,Direct
36,363,new york bowery,2,2026-04-20,2026-04-21,1,178.91,178.91,4,Corporate
37,190,london bankside,1,2025-07-15,2025-07-16,1,127.47,127.47,4,OTA
38,107,new york bowery,3,2025-11-07,2025-11-08,1,184.47,184.47,5,OTA
39,283,Copenhagen Islands Brygge,3,2025-10-17,2025-10-21,4,219.14,876.56,4,Direct
40,105,seattle south lake union,3,2025-11-17,2025-11-21,4,235.42,941.68,5,OTA
41,79,copenhagen islands brygge,2,2025-12-04,2025-12-06,2,171.43,342.86,4,Direct
42,87,seattle south lake union,3,2025-06-23,2025-06-25,2,207.02,414.04,3,Direct
43,25,London  Bankside,1,2026-02-27,2026-03-01,2,108.19,216.38,5,Direct
44,250,Seattle  South Lake Union,1,2025-01-07,2025-01-12,5,98.62,493.1,5,Corporate
45,55,Copenhagen Islands Brygge,1,2026-06-21,2026-06-23,2,125.12,250.24,4,Direct
46,290,copenhagen islands brygge,2,2025-08-20,2025-08-23,3,172.24,516.72,5,Direct
47,327,Seattle South Lake Union,1,2025-06-25,2025-06-26,1,117.02,117.02,4,Direct
48,24,seattle south lake union,1,2025-10-15,2025-10-20,5,99.53,497.65,,OTA
49,154,Copenhagen Islands Brygge,2,2025-09-04,2025-09-09,5,146.74,733.7,4,OTA
50,382,London  Bankside,3,2025-02-24,2025-02-25,1,233.5,233.5,2,Corporate
51,252,boston north station,2,2025-12-31,2026-01-05,5,149.11,745.55,2,OTA
52,38, New York Bowery,1,2025-10-02,2025-10-04,2,132.28,264.56,2,Direct
53,185,boston north station,3,2025-04-15,2025-04-17,2,202.68,405.36,3,Direct
54,307,London  Bankside,3,2026-01-30,2026-01-31,1,199.42,199.42,3,OTA
55,195,Paris Gare De Lyon,2,2025-05-23,2025-05-26,3,152.52,457.56,2,Corporate
56,129,london bankside,2,2026-05-23,2026-05-28,5,150.56,752.8,5,Corporate
57,226,copenhagen islands brygge,3,2026-03-17,2026-03-24,7,219.32,1535.24,5,OTA
58,164,paris gare de lyon,3,2026-05-18,2026-05-23,5,194.74,973.7,2,OTA
59,394,Paris Gare De Lyon,1,2026-04-18,2026-04-24,6,132.88,797.28,4,Direct
60,156,Paris Gare De Lyon,2,2025-09-16,2025-09-22,6,148.63,891.78,5,Direct
61,185,Copenhagen Islands Brygge,1,2025-04-22,2025-04-29,7,127.08,889.56,5,Direct
62,55,rotterdam,1,2025-04-11,2025-04-14,3,130.66,391.98,3,Direct
63,13,paris gare de lyon,4,2025-04-18,2025-04-21,3,122.05,366.15,4,Corporate
64,248, New York Bowery,3,2026-05-03,2026-05-04,1,222.78,222.78,,Direct
65,56,ROTTERDAM ,2,2025-09-07,2025-09-12,5,134.0,670.0,5,Direct
66,337,Paris Gare De Lyon,4,2026-02-10,2026-02-11,1,119.06,119.06,2,OTA
67,53,London  Bankside,2,2026-01-10,2026-01-13,3,131.44,394.32,5,Corporate
68,179,Copenhagen Islands Brygge,3,2026-04-14,2026-04-19,5,221.02,1105.1,4,Corporate
69,94,Boston North Station,3,2025-05-25,2025-05-30,5,215.19,1075.95,2,OTA
